Welcome
SampleRate (Hz): Base: A0 0 27.5Hz, to A0, 4096Hz 0x1000
Base: C♯7 76 2217.46Hz, to C♯3, 256Hz 0x100
Base: C♯7 76 2217.46Hz, to D3, 271.222Hz 0x10f
Base: C♯7 76 2217.46Hz, to D♯3, 287.35Hz 0x11f
Base: C♯7 76 2217.46Hz, to E3, 304.438Hz 0x130
Base: C♯7 76 2217.46Hz, to F3, 322.54Hz 0x143
Base: C♯7 76 2217.46Hz, to F♯3, 341.719Hz 0x156
Base: C♯7 76 2217.46Hz, to G3, 362.039Hz 0x16a
Base: C♯7 76 2217.46Hz, to G♯3, 383.566Hz 0x180
Base: C♯7 76 2217.46Hz, to A3, 406.375Hz 0x196
Base: C♯7 76 2217.46Hz, to A♯3, 430.539Hz 0x1af
Base: C♯7 76 2217.46Hz, to B3, 456.141Hz 0x1c8
Base: C♯7 76 2217.46Hz, to C4, 483.265Hz 0x1e3
Base: C♯7 76 2217.46Hz, to C♯4, 512.001Hz 0x200
Base: C♯7 76 2217.46Hz, to D4, 542.446Hz 0x21e
Base: C♯7 76 2217.46Hz, to D♯4, 574.701Hz 0x23f
Base: C♯7 76 2217.46Hz, to E4, 608.875Hz 0x261
Base: C♯7 76 2217.46Hz, to F4, 645.079Hz 0x285
Base: C♯7 76 2217.46Hz, to F♯4, 683.438Hz 0x2ab
Base: C♯7 76 2217.46Hz, to G4, 724.077Hz 0x2d4
Base: C♯7 76 2217.46Hz, to G♯4, 767.134Hz 0x2ff
Base: C♯7 76 2217.46Hz, to A4, 812.75Hz 0x32d
Base: C♯7 76 2217.46Hz, to A♯4, 861.079Hz 0x35d
Base: C♯7 76 2217.46Hz, to B4, 912.28Hz 0x390
Base: C♯7 76 2217.46Hz, to C5, 966.527Hz 0x3c7
Base: C♯7 76 2217.46Hz, to C♯5, 1024Hz 0x400
Base: C♯7 76 2217.46Hz, to D5, 1084.89Hz 0x43d
Base: C♯7 76 2217.46Hz, to D♯5, 1149.4Hz 0x47d
Base: C♯7 76 2217.46Hz, to E5, 1217.75Hz 0x4c2
Base: C♯7 76 2217.46Hz, to F5, 1290.16Hz 0x50a
Base: C♯7 76 2217.46Hz, to F♯5, 1366.88Hz 0x557
Base: C♯7 76 2217.46Hz, to G5, 1448.16Hz 0x5a8
Base: C♯7 76 2217.46Hz, to G♯5, 1534.27Hz 0x5fe
Base: C♯7 76 2217.46Hz, to A5, 1625.5Hz 0x659
Base: C♯7 76 2217.46Hz, to A♯5, 1722.16Hz 0x6ba
Base: C♯7 76 2217.46Hz, to B5, 1824.56Hz 0x721
Base: C♯7 76 2217.46Hz, to C6, 1933.05Hz 0x78d
Base: C♯7 76 2217.46Hz, to C♯6, 2048Hz 0x800
Base: C♯7 76 2217.46Hz, to D6, 2169.78Hz 0x87a
Base: C♯7 76 2217.46Hz, to D♯6, 2298.81Hz 0x8fb
Base: C♯7 76 2217.46Hz, to E6, 2435.5Hz 0x983
Base: C♯7 76 2217.46Hz, to F6, 2580.31Hz 0xa14
Base: C♯7 76 2217.46Hz, to F♯6, 2733.76Hz 0xaae
Base: C♯7 76 2217.46Hz, to G6, 2896.31Hz 0xb50
Base: C♯7 76 2217.46Hz, to G♯6, 3068.54Hz 0xbfd
Base: C♯7 76 2217.46Hz, to A6, 3251Hz 0xcb3
Base: C♯7 76 2217.46Hz, to A♯6, 3444.32Hz 0xd74
Base: C♯7 76 2217.46Hz, to B6, 3649.12Hz 0xe41
Base: C♯7 76 2217.46Hz, to C7, 3866.1Hz 0xf1a
Base: C♯7 76 2217.46Hz, to C♯7, 4096Hz 0x1000
Base: C♯7 76 2217.46Hz, to D7, 4339.57Hz 0x10f4
Base: C♯7 76 2217.46Hz, to D♯7, 4597.61Hz 0x11f6
Base: C♯7 76 2217.46Hz, to E7, 4870.99Hz 0x1307
Base: C♯7 76 2217.46Hz, to F7, 5160.65Hz 0x1429
Base: C♯7 76 2217.46Hz, to F♯7, 5467.52Hz 0x155c
Base: C♯7 76 2217.46Hz, to G7, 5792.62Hz 0x16a1
Base: C♯7 76 2217.46Hz, to G♯7, 6137.07Hz 0x17f9
Base: C♯7 76 2217.46Hz, to A7, 6502Hz 0x1966
Base: C♯7 76 2217.46Hz, to A♯7, 6888.63Hz 0x1ae9
Base: C♯7 76 2217.46Hz, to B7, 7298.25Hz 0x1c82
Base: C♯7 76 2217.46Hz, to C8, 7732.22Hz 0x1e34
Base: D7 77 2349.32Hz, to A0, 47.9458Hz 0x30
Base: D7 77 2349.32Hz, to A♯0, 50.7967Hz 0x33
Base: D7 77 2349.32Hz, to B0, 53.8173Hz 0x36
Base: D7 77 2349.32Hz, to C1, 57.0175Hz 0x39
Base: D7 77 2349.32Hz, to C♯1, 60.4079Hz 0x3c
Base: D7 77 2349.32Hz, to D1, 64Hz 0x40
Base: D7 77 2349.32Hz, to D♯1, 67.8056Hz 0x44
Base: D7 77 2349.32Hz, to E1, 71.8374Hz 0x48
Base: D7 77 2349.32Hz, to F1, 76.1091Hz 0x4c
Base: D7 77 2349.32Hz, to F♯1, 80.6349Hz 0x51
Base: D7 77 2349.32Hz, to G1, 85.4296Hz 0x55
Base: D7 77 2349.32Hz, to G♯1, 90.5096Hz 0x5b
Base: D7 77 2349.32Hz, to A1, 95.8916Hz 0x60
Base: D7 77 2349.32Hz, to A♯1, 101.594Hz 0x66
Base: D7 77 2349.32Hz, to B1, 107.635Hz 0x6c
Base: D7 77 2349.32Hz, to C2, 114.035Hz 0x72
Base: D7 77 2349.32Hz, to C♯2, 120.816Hz 0x79
Base: D7 77 2349.32Hz, to D2, 128Hz 0x80
Base: D7 77 2349.32Hz, to D♯2, 135.611Hz 0x88
Base: D7 77 2349.32Hz, to E2, 143.675Hz 0x90
Base: D7 77 2349.32Hz, to F2, 152.218Hz 0x98
Base: D7 77 2349.32Hz, to F♯2, 161.27Hz 0xa1
Base: D7 77 2349.32Hz, to G2, 170.859Hz 0xab
Base: D7 77 2349.32Hz, to G♯2, 181.019Hz 0xb5
Base: D7 77 2349.32Hz, to A2, 191.783Hz 0xc0
Base: D7 77 2349.32Hz, to A♯2, 203.187Hz 0xcb
Base: D7 77 2349.32Hz, to B2, 215.27Hz 0xd7
Base: D7 77 2349.32Hz, to C3, 228.07Hz 0xe4
Base: D7 77 2349.32Hz, to C♯3, 241.631Hz 0xf2
Base: D7 77 2349.32Hz, to D3, 255.999Hz 0x100
Base: D7 77 2349.32Hz, to D♯3, 271.221Hz 0x10f
Base: D7 77 2349.32Hz, to E3, 287.35Hz 0x11f
Base: D7 77 2349.32Hz, to F3, 304.437Hz 0x130
Base: D7 77 2349.32Hz, to F♯3, 322.539Hz 0x143
Base: D7 77 2349.32Hz, to G3, 341.719Hz 0x156
Base: D7 77 2349.32Hz, to G♯3, 362.038Hz 0x16a
Base: D7 77 2349.32Hz, to A3, 383.566Hz 0x180
Base: D7 77 2349.32Hz, to A♯3, 406.375Hz 0x196
Base: D7 77 2349.32Hz, to B3, 430.539Hz 0x1af
Base: D7 77 2349.32Hz, to C4, 456.141Hz 0x1c8
Base: D7 77 2349.32Hz, to C♯4, 483.264Hz 0x1e3
Base: D7 77 2349.32Hz, to D4, 512Hz 0x200
Base: D7 77 2349.32Hz, to D♯4, 542.445Hz 0x21e
Base: D7 77 2349.32Hz, to E4, 574.701Hz 0x23f
Base: D7 77 2349.32Hz, to F4, 608.873Hz 0x261
Base: D7 77 2349.32Hz, to F♯4, 645.078Hz 0x285
Base: D7 77 2349.32Hz, to G4, 683.437Hz 0x2ab
Base: D7 77 2349.32Hz, to G♯4, 724.077Hz 0x2d4
Base: D7 77 2349.32Hz, to A4, 767.133Hz 0x2ff
Base: D7 77 2349.32Hz, to A♯4, 812.749Hz 0x32d
Base: D7 77 2349.32Hz, to B4, 861.077Hz 0x35d
Base: D7 77 2349.32Hz, to C5, 912.279Hz 0x390
Base: D7 77 2349.32Hz, to C♯5, 966.526Hz 0x3c7
Base: D7 77 2349.32Hz, to D5, 1024Hz 0x400
Base: D7 77 2349.32Hz, to D♯5, 1084.89Hz 0x43d
Base: D7 77 2349.32Hz, to E5, 1149.4Hz 0x47d
Base: D7 77 2349.32Hz, to F5, 1217.75Hz 0x4c2
Base: D7 77 2349.32Hz, to F♯5, 1290.16Hz 0x50a
Base: D7 77 2349.32Hz, to G5, 1366.88Hz 0x557
Base: D7 77 2349.32Hz, to G♯5, 1448.15Hz 0x5a8
Base: D7 77 2349.32Hz, to A5, 1534.27Hz 0x5fe
Base: D7 77 2349.32Hz, to A♯5, 1625.5Hz 0x659
Base: D7 77 2349.32Hz, to B5, 1722.16Hz 0x6ba
Base: D7 77 2349.32Hz, to C6, 1824.56Hz 0x721
Base: D7 77 2349.32Hz, to C♯6, 1933.05Hz 0x78d
Base: D7 77 2349.32Hz, to D6, 2048Hz 0x800
Base: D7 77 2349.32Hz, to D♯6, 2169.78Hz 0x87a
Base: D7 77 2349.32Hz, to E6, 2298.8Hz 0x8fb
Base: D7 77 2349.32Hz, to F6, 2435.49Hz 0x983
Base: D7 77 2349.32Hz, to F♯6, 2580.32Hz 0xa14
Base: D7 77 2349.32Hz, to G6, 2733.75Hz 0xaae
Base: D7 77 2349.32Hz, to G♯6, 2896.31Hz 0xb50
Base: D7 77 2349.32Hz, to A6, 3068.53Hz 0xbfd
Base: D7 77 2349.32Hz, to A♯6, 3251Hz 0xcb3
Base: D7 77 2349.32Hz, to B6, 3444.3Hz 0xd74
Base: D7 77 2349.32Hz, to C7, 3649.11Hz 0xe41
Base: D7 77 2349.32Hz, to C♯7, 3866.1Hz 0xf1a
Base: D7 77 2349.32Hz, to D7, 4096Hz 0x1000
Base: D7 77 2349.32Hz, to D♯7, 4339.56Hz 0x10f4
Base: D7 77 2349.32Hz, to E7, 4597.6Hz 0x11f6
Base: D7 77 2349.32Hz, to F7, 4871Hz 0x1307
Base: D7 77 2349.32Hz, to F♯7, 5160.64Hz 0x1429
Base: D7 77 2349.32Hz, to G7, 5467.49Hz 0x155b
Base: D7 77 2349.32Hz, to G♯7, 5792.62Hz 0x16a1
Base: D7 77 2349.32Hz, to A7, 6137.06Hz 0x17f9
Base: D7 77 2349.32Hz, to A♯7, 6501.99Hz 0x1966
Base: D7 77 2349.32Hz, to B7, 6888.62Hz 0x1ae9
Base: D7 77 2349.32Hz, to C8, 7298.24Hz 0x1c82
Base: D♯7 78 2489.02Hz, to A0, 45.2548Hz 0x2d
Base: D♯7 78 2489.02Hz, to A♯0, 47.9457Hz 0x30
Base: D♯7 78 2489.02Hz, to B0, 50.7967Hz 0x33
Base: D♯7 78 2489.02Hz, to C1, 53.8173Hz 0x36
Base: D♯7 78 2489.02Hz, to C♯1, 57.0174Hz 0x39
Base: D♯7 78 2489.02Hz, to D1, 60.4079Hz 0x3c
Base: D♯7 78 2489.02Hz, to D♯1, 63.9999Hz 0x40
Base: D♯7 78 2489.02Hz, to E1, 67.8055Hz 0x44
Base: D♯7 78 2489.02Hz, to F1, 71.8374Hz 0x48
Base: D♯7 78 2489.02Hz, to F♯1, 76.1091Hz 0x4c
Base: D♯7 78 2489.02Hz, to G1, 80.6348Hz 0x51
Base: D♯7 78 2489.02Hz, to G♯1, 85.4296Hz 0x55
Base: D♯7 78 2489.02Hz, to A1, 90.5095Hz 0x5b
Base: D♯7 78 2489.02Hz, to A♯1, 95.8915Hz 0x60
Base: D♯7 78 2489.02Hz, to B1, 101.593Hz 0x66
Base: D♯7 78 2489.02Hz, to C2, 107.635Hz 0x6c
Base: D♯7 78 2489.02Hz, to C♯2, 114.035Hz 0x72
Base: D♯7 78 2489.02Hz, to D2, 120.816Hz 0x79
Base: D♯7 78 2489.02Hz, to D♯2, 128Hz 0x80
Base: D♯7 78 2489.02Hz, to E2, 135.611Hz 0x88
Base: D♯7 78 2489.02Hz, to F2, 143.675Hz 0x90
Base: D♯7 78 2489.02Hz, to F♯2, 152.218Hz 0x98
Base: D♯7 78 2489.02Hz, to G2, 161.27Hz 0xa1
Base: D♯7 78 2489.02Hz, to G♯2, 170.859Hz 0xab
Base: D♯7 78 2489.02Hz, to A2, 181.019Hz 0xb5
Base: D♯7 78 2489.02Hz, to A♯2, 191.783Hz 0xc0
Base: D♯7 78 2489.02Hz, to B2, 203.187Hz 0xcb
Base: D♯7 78 2489.02Hz, to C3, 215.269Hz 0xd7
Base: D♯7 78 2489.02Hz, to C♯3, 228.069Hz 0xe4
Base: D♯7 78 2489.02Hz, to D3, 241.631Hz 0xf2
Base: D♯7 78 2489.02Hz, to D♯3, 255.999Hz 0x100
Base: D♯7 78 2489.02Hz, to E3, 271.222Hz 0x10f
Base: D♯7 78 2489.02Hz, to F3, 287.35Hz 0x11f
Base: D♯7 78 2489.02Hz, to F♯3, 304.436Hz 0x130
Base: D♯7 78 2489.02Hz, to G3, 322.54Hz 0x143
Base: D♯7 78 2489.02Hz, to G♯3, 341.718Hz 0x156
Base: D♯7 78 2489.02Hz, to A3, 362.038Hz 0x16a
Base: D♯7 78 2489.02Hz, to A♯3, 383.566Hz 0x180
Base: D♯7 78 2489.02Hz, to B3, 406.375Hz 0x196
Base: D♯7 78 2489.02Hz, to C4, 430.539Hz 0x1af
Base: D♯7 78 2489.02Hz, to C♯4, 456.14Hz 0x1c8
Base: D♯7 78 2489.02Hz, to D4, 483.263Hz 0x1e3
Base: D♯7 78 2489.02Hz, to D♯4, 511.999Hz 0x200
Base: D♯7 78 2489.02Hz, to E4, 542.445Hz 0x21e
Base: D♯7 78 2489.02Hz, to F4, 574.699Hz 0x23f
Base: D♯7 78 2489.02Hz, to F♯4, 608.872Hz 0x261
Base: D♯7 78 2489.02Hz, to G4, 645.078Hz 0x285
Base: D♯7 78 2489.02Hz, to G♯4, 683.437Hz 0x2ab
Base: D♯7 78 2489.02Hz, to A4, 724.076Hz 0x2d4
Base: D♯7 78 2489.02Hz, to A♯4, 767.132Hz 0x2ff
Base: D♯7 78 2489.02Hz, to B4, 812.747Hz 0x32d
Base: D♯7 78 2489.02Hz, to C5, 861.076Hz 0x35d
Base: D♯7 78 2489.02Hz, to C♯5, 912.278Hz 0x390
Base: D♯7 78 2489.02Hz, to D5, 966.526Hz 0x3c7
Base: D♯7 78 2489.02Hz, to D♯5, 1024Hz 0x400
Base: D♯7 78 2489.02Hz, to E5, 1084.89Hz 0x43d
Base: D♯7 78 2489.02Hz, to F5, 1149.4Hz 0x47d
Base: D♯7 78 2489.02Hz, to F♯5, 1217.75Hz 0x4c2
Base: D♯7 78 2489.02Hz, to G5, 1290.16Hz 0x50a
Base: D♯7 78 2489.02Hz, to G♯5, 1366.87Hz 0x557
Base: D♯7 78 2489.02Hz, to A5, 1448.15Hz 0x5a8
Base: D♯7 78 2489.02Hz, to A♯5, 1534.26Hz 0x5fe
Base: D♯7 78 2489.02Hz, to B5, 1625.5Hz 0x659
Base: D♯7 78 2489.02Hz, to C6, 1722.15Hz 0x6ba
Base: D♯7 78 2489.02Hz, to C♯6, 1824.56Hz 0x721
Base: D♯7 78 2489.02Hz, to D6, 1933.05Hz 0x78d
Base: D♯7 78 2489.02Hz, to D♯6, 2048Hz 0x800
Base: D♯7 78 2489.02Hz, to E6, 2169.78Hz 0x87a
Base: D♯7 78 2489.02Hz, to F6, 2298.79Hz 0x8fb
Base: D♯7 78 2489.02Hz, to F♯6, 2435.5Hz 0x983
Base: D♯7 78 2489.02Hz, to G6, 2580.31Hz 0xa14
Base: D♯7 78 2489.02Hz, to G♯6, 2733.75Hz 0xaae
Base: D♯7 78 2489.02Hz, to A6, 2896.3Hz 0xb50
Base: D♯7 78 2489.02Hz, to A♯6, 3068.54Hz 0xbfd
Base: D♯7 78 2489.02Hz, to B6, 3250.99Hz 0xcb3
Base: D♯7 78 2489.02Hz, to C7, 3444.3Hz 0xd74
Base: D♯7 78 2489.02Hz, to C♯7, 3649.11Hz 0xe41
Base: D♯7 78 2489.02Hz, to D7, 3866.11Hz 0xf1a
Base: D♯7 78 2489.02Hz, to D♯7, 4096Hz 0x1000
Base: D♯7 78 2489.02Hz, to E7, 4339.55Hz 0x10f4
Base: D♯7 78 2489.02Hz, to F7, 4597.6Hz 0x11f6
Base: D♯7 78 2489.02Hz, to F♯7, 4870.99Hz 0x1307
Base: D♯7 78 2489.02Hz, to G7, 5160.62Hz 0x1429
Base: D♯7 78 2489.02Hz, to G♯7, 5467.5Hz 0x155b
Base: D♯7 78 2489.02Hz, to A7, 5792.61Hz 0x16a1
Base: D♯7 78 2489.02Hz, to A♯7, 6137.06Hz 0x17f9
Base: D♯7 78 2489.02Hz, to B7, 6501.99Hz 0x1966
Base: D♯7 78 2489.02Hz, to C8, 6888.61Hz 0x1ae9
Base: E7 79 2637.02Hz, to A0, 42.7149Hz 0x2b
Base: E7 79 2637.02Hz, to A♯0, 45.2548Hz 0x2d
Base: E7 79 2637.02Hz, to B0, 47.9458Hz 0x30
Base: E7 79 2637.02Hz, to C1, 50.7969Hz 0x33
Base: E7 79 2637.02Hz, to C♯1, 53.8173Hz 0x36
Base: E7 79 2637.02Hz, to D1, 57.0175Hz 0x39
Base: E7 79 2637.02Hz, to D♯1, 60.408Hz 0x3c
Base: E7 79 2637.02Hz, to E1, 63.9999Hz 0x40
Base: E7 79 2637.02Hz, to F1, 67.8056Hz 0x44
Base: E7 79 2637.02Hz, to F♯1, 71.8376Hz 0x48
Base: E7 79 2637.02Hz, to G1, 76.1092Hz 0x4c
Base: E7 79 2637.02Hz, to G♯1, 80.635Hz 0x51
Base: E7 79 2637.02Hz, to A1, 85.4298Hz 0x55
Base: E7 79 2637.02Hz, to A♯1, 90.5097Hz 0x5b
Base: E7 79 2637.02Hz, to B1, 95.8916Hz 0x60
Base: E7 79 2637.02Hz, to C2, 101.594Hz 0x66
Base: E7 79 2637.02Hz, to C♯2, 107.635Hz 0x6c
Base: E7 79 2637.02Hz, to D2, 114.035Hz 0x72
Base: E7 79 2637.02Hz, to D♯2, 120.816Hz 0x79
Base: E7 79 2637.02Hz, to E2, 128Hz 0x80
Base: E7 79 2637.02Hz, to F2, 135.611Hz 0x88
Base: E7 79 2637.02Hz, to F♯2, 143.675Hz 0x90
Base: E7 79 2637.02Hz, to G2, 152.219Hz 0x98
Base: E7 79 2637.02Hz, to G♯2, 161.27Hz 0xa1
Base: E7 79 2637.02Hz, to A2, 170.86Hz 0xab
Base: E7 79 2637.02Hz, to A♯2, 181.019Hz 0xb5
Base: E7 79 2637.02Hz, to B2, 191.784Hz 0xc0
Base: E7 79 2637.02Hz, to C3, 203.188Hz 0xcb
Base: E7 79 2637.02Hz, to C♯3, 215.269Hz 0xd7
Base: E7 79 2637.02Hz, to D3, 228.07Hz 0xe4
Base: E7 79 2637.02Hz, to D♯3, 241.631Hz 0xf2
Base: E7 79 2637.02Hz, to E3, 256Hz 0x100
Base: E7 79 2637.02Hz, to F3, 271.222Hz 0x10f
Base: E7 79 2637.02Hz, to F♯3, 287.35Hz 0x11f
Base: E7 79 2637.02Hz, to G3, 304.438Hz 0x130
Base: E7 79 2637.02Hz, to G♯3, 322.539Hz 0x143
Base: E7 79 2637.02Hz, to A3, 341.719Hz 0x156
Base: E7 79 2637.02Hz, to A♯3, 362.039Hz 0x16a
Base: E7 79 2637.02Hz, to B3, 383.567Hz 0x180
Base: E7 79 2637.02Hz, to C4, 406.375Hz 0x196
Base: E7 79 2637.02Hz, to C♯4, 430.54Hz 0x1af
Base: E7 79 2637.02Hz, to D4, 456.141Hz 0x1c8
Base: E7 79 2637.02Hz, to D♯4, 483.264Hz 0x1e3
Base: E7 79 2637.02Hz, to E4, 512.001Hz 0x200
Base: E7 79 2637.02Hz, to F4, 542.445Hz 0x21e
Base: E7 79 2637.02Hz, to F♯4, 574.7Hz 0x23f
Base: E7 79 2637.02Hz, to G4, 608.873Hz 0x261
Base: E7 79 2637.02Hz, to G♯4, 645.08Hz 0x285
Base: E7 79 2637.02Hz, to A4, 683.438Hz 0x2ab
Base: E7 79 2637.02Hz, to A♯4, 724.078Hz 0x2d4
Base: E7 79 2637.02Hz, to B4, 767.133Hz 0x2ff
Base: E7 79 2637.02Hz, to C5, 812.749Hz 0x32d
Base: E7 79 2637.02Hz, to C♯5, 861.078Hz 0x35d
Base: E7 79 2637.02Hz, to D5, 912.281Hz 0x390
Base: E7 79 2637.02Hz, to D♯5, 966.528Hz 0x3c7
Base: E7 79 2637.02Hz, to E5, 1024Hz 0x400
Base: E7 79 2637.02Hz, to F5, 1084.89Hz 0x43d
Base: E7 79 2637.02Hz, to F♯5, 1149.4Hz 0x47d
Base: E7 79 2637.02Hz, to G5, 1217.75Hz 0x4c2
Base: E7 79 2637.02Hz, to G♯5, 1290.16Hz 0x50a
Base: E7 79 2637.02Hz, to A5, 1366.88Hz 0x557
Base: E7 79 2637.02Hz, to A♯5, 1448.16Hz 0x5a8
Base: E7 79 2637.02Hz, to B5, 1534.27Hz 0x5fe
Base: E7 79 2637.02Hz, to C6, 1625.5Hz 0x659
Base: E7 79 2637.02Hz, to C♯6, 1722.16Hz 0x6ba
Base: E7 79 2637.02Hz, to D6, 1824.56Hz 0x721
Base: E7 79 2637.02Hz, to D♯6, 1933.06Hz 0x78d
Base: E7 79 2637.02Hz, to E6, 2048Hz 0x800
Base: E7 79 2637.02Hz, to F6, 2169.78Hz 0x87a
Base: E7 79 2637.02Hz, to F♯6, 2298.81Hz 0x8fb
Base: E7 79 2637.02Hz, to G6, 2435.49Hz 0x983
Base: E7 79 2637.02Hz, to G♯6, 2580.32Hz 0xa14
Base: E7 79 2637.02Hz, to A6, 2733.75Hz 0xaae
Base: E7 79 2637.02Hz, to A♯6, 2896.32Hz 0xb50
Base: E7 79 2637.02Hz, to B6, 3068.53Hz 0xbfd
Base: E7 79 2637.02Hz, to C7, 3250.99Hz 0xcb3
Base: E7 79 2637.02Hz, to C♯7, 3444.31Hz 0xd74
Base: E7 79 2637.02Hz, to D7, 3649.12Hz 0xe41
Base: E7 79 2637.02Hz, to D♯7, 3866.12Hz 0xf1a
Base: E7 79 2637.02Hz, to E7, 4096Hz 0x1000
Base: E7 79 2637.02Hz, to F7, 4339.57Hz 0x10f4
Base: E7 79 2637.02Hz, to F♯7, 4597.61Hz 0x11f6
Base: E7 79 2637.02Hz, to G7, 4870.99Hz 0x1307
Base: E7 79 2637.02Hz, to G♯7, 5160.64Hz 0x1429
Base: E7 79 2637.02Hz, to A7, 5467.5Hz 0x155c
Base: E7 79 2637.02Hz, to A♯7, 5792.62Hz 0x16a1
Base: E7 79 2637.02Hz, to B7, 6137.07Hz 0x17f9
Base: E7 79 2637.02Hz, to C8, 6502Hz 0x1966
Base: F7 80 2793.83Hz, to A0, 40.3174Hz 0x28
Base: F7 80 2793.83Hz, to A♯0, 42.7148Hz 0x2b
Base: F7 80 2793.83Hz, to B0, 45.2548Hz 0x2d
Base: F7 80 2793.83Hz, to C1, 47.9458Hz 0x30
Base: F7 80 2793.83Hz, to C♯1, 50.7967Hz 0x33
Base: F7 80 2793.83Hz, to D1, 53.8173Hz 0x36
Base: F7 80 2793.83Hz, to D♯1, 57.0175Hz 0x39
Base: F7 80 2793.83Hz, to E1, 60.4078Hz 0x3c
Base: F7 80 2793.83Hz, to F1, 63.9999Hz 0x40
Base: F7 80 2793.83Hz, to F♯1, 67.8055Hz 0x44
Base: F7 80 2793.83Hz, to G1, 71.8374Hz 0x48
Base: F7 80 2793.83Hz, to G♯1, 76.1092Hz 0x4c
Base: F7 80 2793.83Hz, to A1, 80.6348Hz 0x51
Base: F7 80 2793.83Hz, to A♯1, 85.4297Hz 0x55
Base: F7 80 2793.83Hz, to B1, 90.5095Hz 0x5b
Base: F7 80 2793.83Hz, to C2, 95.8915Hz 0x60
Base: F7 80 2793.83Hz, to C♯2, 101.594Hz 0x66
Base: F7 80 2793.83Hz, to D2, 107.635Hz 0x6c
Base: F7 80 2793.83Hz, to D♯2, 114.035Hz 0x72
Base: F7 80 2793.83Hz, to E2, 120.816Hz 0x79
Base: F7 80 2793.83Hz, to F2, 128Hz 0x80
Base: F7 80 2793.83Hz, to F♯2, 135.611Hz 0x88
Base: F7 80 2793.83Hz, to G2, 143.675Hz 0x90
Base: F7 80 2793.83Hz, to G♯2, 152.218Hz 0x98
Base: F7 80 2793.83Hz, to A2, 161.27Hz 0xa1
Base: F7 80 2793.83Hz, to A♯2, 170.859Hz 0xab
Base: F7 80 2793.83Hz, to B2, 181.019Hz 0xb5
Base: F7 80 2793.83Hz, to C3, 191.783Hz 0xc0
Base: F7 80 2793.83Hz, to C♯3, 203.187Hz 0xcb
Base: F7 80 2793.83Hz, to D3, 215.269Hz 0xd7
Base: F7 80 2793.83Hz, to D♯3, 228.069Hz 0xe4
Base: F7 80 2793.83Hz, to E3, 241.632Hz 0xf2
Base: F7 80 2793.83Hz, to F3, 255.999Hz 0x100
Base: F7 80 2793.83Hz, to F♯3, 271.222Hz 0x10f
Base: F7 80 2793.83Hz, to G3, 287.35Hz 0x11f
Base: F7 80 2793.83Hz, to G♯3, 304.436Hz 0x130
Base: F7 80 2793.83Hz, to A3, 322.539Hz 0x143
Base: F7 80 2793.83Hz, to A♯3, 341.719Hz 0x156
Base: F7 80 2793.83Hz, to B3, 362.039Hz 0x16a
Base: F7 80 2793.83Hz, to C4, 383.567Hz 0x180
Base: F7 80 2793.83Hz, to C♯4, 406.375Hz 0x196
Base: F7 80 2793.83Hz, to D4, 430.539Hz 0x1af
Base: F7 80 2793.83Hz, to D♯4, 456.139Hz 0x1c8
Base: F7 80 2793.83Hz, to E4, 483.264Hz 0x1e3
Base: F7 80 2793.83Hz, to F4, 511.999Hz 0x200
Base: F7 80 2793.83Hz, to F♯4, 542.444Hz 0x21e
Base: F7 80 2793.83Hz, to G4, 574.699Hz 0x23f
Base: F7 80 2793.83Hz, to G♯4, 608.874Hz 0x261
Base: F7 80 2793.83Hz, to A4, 645.079Hz 0x285
Base: F7 80 2793.83Hz, to A♯4, 683.437Hz 0x2ab
Base: F7 80 2793.83Hz, to B4, 724.076Hz 0x2d4
Base: F7 80 2793.83Hz, to C5, 767.132Hz 0x2ff
Base: F7 80 2793.83Hz, to C♯5, 812.748Hz 0x32d
Base: F7 80 2793.83Hz, to D5, 861.077Hz 0x35d
Base: F7 80 2793.83Hz, to D♯5, 912.279Hz 0x390
Base: F7 80 2793.83Hz, to E5, 966.526Hz 0x3c7
Base: F7 80 2793.83Hz, to F5, 1024Hz 0x400
Base: F7 80 2793.83Hz, to F♯5, 1084.89Hz 0x43d
Base: F7 80 2793.83Hz, to G5, 1149.4Hz 0x47d
Base: F7 80 2793.83Hz, to G♯5, 1217.75Hz 0x4c2
Base: F7 80 2793.83Hz, to A5, 1290.16Hz 0x50a
Base: F7 80 2793.83Hz, to A♯5, 1366.87Hz 0x557
Base: F7 80 2793.83Hz, to B5, 1448.15Hz 0x5a8
Base: F7 80 2793.83Hz, to C6, 1534.26Hz 0x5fe
Base: F7 80 2793.83Hz, to C♯6, 1625.5Hz 0x659
Base: F7 80 2793.83Hz, to D6, 1722.15Hz 0x6ba
Base: F7 80 2793.83Hz, to D♯6, 1824.56Hz 0x721
Base: F7 80 2793.83Hz, to E6, 1933.05Hz 0x78d
Base: F7 80 2793.83Hz, to F6, 2047.99Hz 0x800
Base: F7 80 2793.83Hz, to F♯6, 2169.78Hz 0x87a
Base: F7 80 2793.83Hz, to G6, 2298.8Hz 0x8fb
Base: F7 80 2793.83Hz, to G♯6, 2435.49Hz 0x983
Base: F7 80 2793.83Hz, to A6, 2580.31Hz 0xa14
Base: F7 80 2793.83Hz, to A♯6, 2733.76Hz 0xaae
Base: F7 80 2793.83Hz, to B6, 2896.3Hz 0xb50
Base: F7 80 2793.83Hz, to C7, 3068.52Hz 0xbfd
